Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,Months,Days,Hours,Minutes
1863.14,HDFC Bank,ICICI Bank,6233.27,Mumbai,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,5,5,1,19
1304.93,SBI Bank,HDFC Bank,2939.38,Delhi,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,6,6,16,10
161.96,ICICI Bank,SBI Bank,9631.11,Bangalore,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,7,7,8,32
13.66,Axis Bank,Axis Bank,2344.43,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,8,8,23,33
657.69,HDFC Bank,ICICI Bank,9238.67,Mumbai,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,9,9,12,41
1719.3,SBI Bank,HDFC Bank,3876.07,Delhi,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,10,10,23,47
1849.57,ICICI Bank,SBI Bank,1529.36,Bangalore,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,11,11,20,33
1269.46,Axis Bank,Axis Bank,3234.86,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,12,12,2,14
90.2,HDFC Bank,ICICI Bank,3907.34,Mumbai,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,1,13,18,25
59.74,SBI Bank,HDFC Bank,9765.84,Delhi,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,33,Scheduled,USD,2,14,11,51
944.01,ICICI Bank,SBI Bank,871.05,Bangalore,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,3,15,21,4
252.29,Axis Bank,Axis Bank,1246.7,Hyderabad,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,4,16,7,45
1266.26,HDFC Bank,ICICI Bank,5422.85,Mumbai,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,36,Instant,INR,5,17,17,2
1026.12,SBI Bank,HDFC Bank,6323.42,Delhi,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,6,18,18,56
92.9,ICICI Bank,SBI Bank,3199.13,Bangalore,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,7,19,18,48
242.04,Axis Bank,Axis Bank,1564.3,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,8,20,15,45
1624.1,HDFC Bank,ICICI Bank,6765.58,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,9,21,7,25
945.67,SBI Bank,HDFC Bank,8977.83,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,10,22,15,11
1557.5,ICICI Bank,SBI Bank,8582.27,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,11,23,14,15
821.47,Axis Bank,Axis Bank,717.04,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,12,24,7,1
920.43,HDFC Bank,ICICI Bank,4520.25,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,1,25,5,49
544.14,SBI Bank,HDFC Bank,8450.87,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,2,26,14,0
140.42,ICICI Bank,SBI Bank,5710.92,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,46,Instant,EUR,3,27,21,49
449.34,Axis Bank,Axis Bank,2245.28,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,4,28,21,1
141.68,HDFC Bank,ICICI Bank,5400.98,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,5,29,9,31
88.84,SBI Bank,HDFC Bank,6081.67,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,6,30,11,37
1349.02,ICICI Bank,SBI Bank,2794.4,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,7,1,6,32
1897.93,Axis Bank,Axis Bank,440.29,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,8,2,21,21
214.39,HDFC Bank,ICICI Bank,7318.04,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,52,Instant,INR,9,3,22,11
262.82,SBI Bank,HDFC Bank,5781.32,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,10,4,9,11
1382.5,ICICI Bank,SBI Bank,9253.18,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,11,5,22,20
114.82,Axis Bank,Axis Bank,6438.4,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,12,6,12,54
1355.27,HDFC Bank,ICICI Bank,7554.37,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,56,Instant,INR,1,7,9,44
1987.64,SBI Bank,HDFC Bank,7803.64,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,2,8,19,31
192.96,ICICI Bank,SBI Bank,4721.4,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,3,9,13,39
495.84,Axis Bank,Axis Bank,5923.0,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,4,10,19,17
1267.51,HDFC Bank,ICICI Bank,3983.88,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,5,11,23,43
1591.25,SBI Bank,HDFC Bank,5070.64,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,6,12,0,0
1933.81,ICICI Bank,SBI Bank,9715.08,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,7,13,18,2
520.15,Axis Bank,Axis Bank,4347.04,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,8,14,6,37
1178.39,HDFC Bank,ICICI Bank,7989.27,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,24,Instant,INR,9,15,2,22
941.49,SBI Bank,HDFC Bank,7028.64,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,10,16,17,15
1466.34,ICICI Bank,SBI Bank,7763.66,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,11,17,23,33
457.73,Axis Bank,Axis Bank,9965.45,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,12,18,12,32
1593.18,HDFC Bank,ICICI Bank,7816.69,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,1,19,10,29
34.42,SBI Bank,HDFC Bank,5209.64,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,2,20,23,22
154.37,ICICI Bank,SBI Bank,204.86,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,3,21,11,53
1650.58,Axis Bank,Axis Bank,256.71,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,4,22,18,45
330.08,HDFC Bank,ICICI Bank,435.35,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,5,23,13,49
277.05,SBI Bank,HDFC Bank,515.17,Delhi,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,6,24,18,58
1017.54,ICICI Bank,SBI Bank,4969.43,Bangalore,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,7,25,6,31
408.16,Axis Bank,Axis Bank,1573.87,Hyderabad,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,8,26,4,26
1778.47,HDFC Bank,ICICI Bank,5924.92,Mumbai,Male,Payment,Success,Laptop,QR Code,Amazon,Food,36,Instant,INR,9,27,15,36
1478.41,SBI Bank,HDFC Bank,9480.2,Delhi,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,37,Scheduled,USD,10,28,3,30
1294.56,ICICI Bank,SBI Bank,9035.68,Bangalore,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,38,Instant,EUR,11,29,14,49
460.39,Axis Bank,Axis Bank,8310.01,Hyderabad,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,39,Scheduled,GBP,12,30,19,9
1388.58,HDFC Bank,ICICI Bank,914.09,Mumbai,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,40,Instant,INR,1,1,9,53
184.34,SBI Bank,HDFC Bank,4067.79,Delhi,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,41,Scheduled,USD,2,2,2,45
873.11,ICICI Bank,SBI Bank,2966.33,Bangalore,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,42,Instant,EUR,3,3,23,15
542.21,Axis Bank,Axis Bank,8852.03,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,43,Scheduled,GBP,4,4,11,7
987.94,HDFC Bank,ICICI Bank,5991.23,Mumbai,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,44,Instant,INR,5,5,22,38
898.78,SBI Bank,HDFC Bank,9357.49,Delhi,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,45,Scheduled,USD,6,6,20,33
578.74,ICICI Bank,SBI Bank,1210.73,Bangalore,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,7,7,12,50
867.96,Axis Bank,Axis Bank,7756.23,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,47,Scheduled,GBP,8,8,10,5
1919.87,HDFC Bank,ICICI Bank,5321.17,Mumbai,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,48,Instant,INR,9,9,17,42
951.83,SBI Bank,HDFC Bank,3427.14,Delhi,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,49,Scheduled,USD,10,10,15,46
1005.98,ICICI Bank,SBI Bank,9576.69,Bangalore,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,50,Instant,EUR,11,11,7,58
1490.49,Axis Bank,Axis Bank,2778.27,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,51,Scheduled,GBP,12,12,14,25
756.67,HDFC Bank,ICICI Bank,320.61,Mumbai,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,52,Instant,INR,1,13,16,8
56.71,SBI Bank,HDFC Bank,4166.35,Delhi,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,2,14,14,2
1180.31,ICICI Bank,SBI Bank,4416.0,Bangalore,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,54,Instant,EUR,3,15,21,34
1251.29,Axis Bank,Axis Bank,885.47,Hyderabad,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,55,Scheduled,GBP,4,16,5,29
846.49,HDFC Bank,ICICI Bank,4257.73,Mumbai,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,56,Instant,INR,5,17,21,43
1388.55,SBI Bank,HDFC Bank,4336.06,Delhi,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,6,18,11,40
72.16,ICICI Bank,SBI Bank,9269.26,Bangalore,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,58,Instant,EUR,7,19,22,14
945.22,Axis Bank,Axis Bank,2971.52,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,59,Scheduled,GBP,8,20,17,40
1018.17,HDFC Bank,ICICI Bank,7813.76,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,9,21,16,34
628.34,SBI Bank,HDFC Bank,23.61,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,21,Scheduled,USD,10,22,19,22
1785.29,ICICI Bank,SBI Bank,4963.36,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,22,Instant,EUR,11,23,6,33
880.5,Axis Bank,Axis Bank,265.45,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,23,Scheduled,GBP,12,24,12,5
1592.25,HDFC Bank,ICICI Bank,3050.06,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,24,Instant,INR,1,25,15,15
578.62,SBI Bank,HDFC Bank,6589.55,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,25,Scheduled,USD,2,26,10,33
1060.1,ICICI Bank,SBI Bank,6274.71,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,26,Instant,EUR,3,27,2,54
1482.41,Axis Bank,Axis Bank,729.67,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,27,Scheduled,GBP,4,28,5,0
25.56,HDFC Bank,ICICI Bank,9649.14,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,28,Instant,INR,5,29,16,26
492.43,SBI Bank,HDFC Bank,4896.29,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,29,Scheduled,USD,6,30,2,44
1948.14,ICICI Bank,SBI Bank,4063.36,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,30,Instant,EUR,7,1,0,14
45.94,Axis Bank,Axis Bank,5370.31,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,31,Scheduled,GBP,8,2,16,22
1762.79,HDFC Bank,ICICI Bank,4159.73,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,32,Instant,INR,9,3,15,34
1139.91,SBI Bank,HDFC Bank,7758.99,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,33,Scheduled,USD,10,4,20,37
463.84,ICICI Bank,SBI Bank,3570.17,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,34,Instant,EUR,11,5,5,20
1498.75,Axis Bank,Axis Bank,3111.41,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,35,Scheduled,GBP,12,6,6,51
156.95,HDFC Bank,ICICI Bank,5646.06,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,36,Instant,INR,1,7,13,19
60.49,SBI Bank,HDFC Bank,1356.13,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,37,Scheduled,USD,2,8,17,46
820.86,ICICI Bank,SBI Bank,6555.11,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,3,9,20,42
1927.43,Axis Bank,Axis Bank,2725.77,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,39,Scheduled,GBP,4,10,5,5
1098.16,HDFC Bank,ICICI Bank,3476.7,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,40,Instant,INR,5,11,3,59
159.53,SBI Bank,HDFC Bank,8324.48,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,41,Scheduled,USD,6,12,11,57
238.69,ICICI Bank,SBI Bank,9820.41,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,42,Instant,EUR,7,13,15,33
1403.31,Axis Bank,Axis Bank,6940.18,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,43,Scheduled,GBP,8,14,3,44
1175.78,HDFC Bank,ICICI Bank,2002.9,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,44,Instant,INR,9,15,5,46
516.72,SBI Bank,HDFC Bank,6.74,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,45,Scheduled,USD,10,16,14,47
24.2,ICICI Bank,SBI Bank,8156.4,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,11,17,16,50
1216.72,Axis Bank,Axis Bank,1432.96,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,47,Scheduled,GBP,12,18,18,53
1768.07,HDFC Bank,ICICI Bank,8157.43,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,1,19,2,30
554.74,SBI Bank,HDFC Bank,5322.73,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,49,Scheduled,USD,2,20,18,4
1475.98,ICICI Bank,SBI Bank,8187.99,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,50,Instant,EUR,3,21,6,24
728.78,Axis Bank,Axis Bank,4490.84,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,51,Scheduled,GBP,4,22,11,39
744.47,HDFC Bank,ICICI Bank,9449.39,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,5,23,3,54
665.48,SBI Bank,HDFC Bank,7168.61,Delhi,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,53,Scheduled,USD,6,24,17,3
1982.34,ICICI Bank,SBI Bank,4546.67,Bangalore,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,54,Instant,EUR,7,25,14,32
833.7,Axis Bank,Axis Bank,4714.79,Hyderabad,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,55,Scheduled,GBP,8,26,18,23
1087.05,HDFC Bank,ICICI Bank,3358.96,Mumbai,Male,Payment,Success,Laptop,QR Code,Amazon,Food,56,Instant,INR,9,27,3,7
1575.38,SBI Bank,HDFC Bank,6530.28,Delhi,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,57,Scheduled,USD,10,28,2,8
145.2,ICICI Bank,SBI Bank,6792.93,Bangalore,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,11,29,22,54
380.35,Axis Bank,Axis Bank,6274.03,Hyderabad,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,59,Scheduled,GBP,12,30,20,37
6.32,HDFC Bank,ICICI Bank,7682.05,Mumbai,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,20,Instant,INR,1,1,23,39
1775.03,SBI Bank,HDFC Bank,5401.04,Delhi,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,2,2,11,2
618.51,ICICI Bank,SBI Bank,3079.86,Bangalore,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,3,3,7,55
443.19,Axis Bank,Axis Bank,2606.86,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,4,4,11,21
970.16,HDFC Bank,ICICI Bank,9582.58,Mumbai,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,5,5,21,32
131.29,SBI Bank,HDFC Bank,8535.77,Delhi,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,6,6,22,20
1354.14,ICICI Bank,SBI Bank,5168.2,Bangalore,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,7,7,21,0
115.61,Axis Bank,Axis Bank,7730.56,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,8,8,22,51
682.78,HDFC Bank,ICICI Bank,8416.5,Mumbai,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,9,9,21,24
217.11,SBI Bank,HDFC Bank,5631.18,Delhi,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,10,10,8,27
1711.75,ICICI Bank,SBI Bank,831.29,Bangalore,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,11,11,5,19
1855.36,Axis Bank,Axis Bank,6890.75,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,12,12,13,43
1004.97,HDFC Bank,ICICI Bank,2998.79,Mumbai,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,1,13,9,24
387.06,SBI Bank,HDFC Bank,9114.81,Delhi,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,33,Scheduled,USD,2,14,12,18
193.54,ICICI Bank,SBI Bank,4906.84,Bangalore,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,3,15,15,20
1655.98,Axis Bank,Axis Bank,7272.78,Hyderabad,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,4,16,15,25
739.69,HDFC Bank,ICICI Bank,1522.67,Mumbai,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,36,Instant,INR,5,17,0,39
1160.65,SBI Bank,HDFC Bank,5354.76,Delhi,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,6,18,1,6
772.16,ICICI Bank,SBI Bank,1136.3,Bangalore,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,7,19,9,46
1020.47,Axis Bank,Axis Bank,3860.19,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,8,20,6,14
1321.23,HDFC Bank,ICICI Bank,6721.1,Mumbai,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,9,21,7,40
1951.18,SBI Bank,HDFC Bank,1673.82,Delhi,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,10,22,16,37
741.38,ICICI Bank,SBI Bank,6425.16,Bangalore,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,11,23,20,0
1977.32,Axis Bank,Axis Bank,6536.12,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,12,24,15,38
565.27,HDFC Bank,ICICI Bank,5264.45,Mumbai,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,1,25,9,35
1993.95,SBI Bank,HDFC Bank,2966.11,Delhi,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,2,26,12,10
495.74,ICICI Bank,SBI Bank,8540.99,Bangalore,Male,Payment,Success,Laptop,QR Code,Amazon,Food,46,Instant,EUR,3,27,1,42
233.9,Axis Bank,Axis Bank,5764.56,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,4,28,13,29
1247.66,HDFC Bank,ICICI Bank,6708.88,Mumbai,Male,Payment,Success,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,5,29,12,56
547.53,SBI Bank,HDFC Bank,7841.65,Delhi,Female,Transfer,Success,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,6,30,1,59
1689.19,ICICI Bank,SBI Bank,7383.48,Bangalore,Male,Payment,Failed,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,7,1,9,29
1053.71,Axis Bank,Axis Bank,734.52,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,8,2,16,22
1812.37,HDFC Bank,ICICI Bank,4072.79,Mumbai,Male,Payment,Success,Laptop,QR Code,Zomato,Travel,52,Instant,INR,9,3,10,23
1646.35,SBI Bank,HDFC Bank,3602.42,Delhi,Female,Transfer,Success,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,10,4,9,20
228.31,ICICI Bank,SBI Bank,1126.13,Bangalore,Male,Payment,Success,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,11,5,9,44
595.98,Axis Bank,Axis Bank,8574.57,Hyderabad,Female,Transfer,Failed,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,12,6,1,11
1540.44,HDFC Bank,ICICI Bank,9688.31,Mumbai,Male,Payment,Success,Mobile,UPI ID,Amazon,Food,56,Instant,INR,1,7,3,43
1259.61,SBI Bank,HDFC Bank,4570.26,Delhi,Female,Transfer,Success,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,2,8,12,44
706.42,ICICI Bank,SBI Bank,1373.35,Bangalore,Male,Payment,Success,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,3,9,22,45
1726.62,Axis Bank,Axis Bank,888.32,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,4,10,8,45
388.11,HDFC Bank,ICICI Bank,2078.09,Mumbai,Male,Payment,Failed,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,5,11,6,19
1319.22,SBI Bank,HDFC Bank,4333.3,Delhi,Female,Transfer,Success,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,6,12,17,0
659.87,ICICI Bank,SBI Bank,6184.63,Bangalore,Male,Payment,Success,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,7,13,3,6
3.86,Axis Bank,Axis Bank,2752.25,Hyderabad,Female,Transfer,Success,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,8,14,15,51
1361.52,HDFC Bank,ICICI Bank,345.39,Mumbai,Male,Payment,Success,Laptop,QR Code,IRCTC,Others,24,Instant,INR,9,15,21,9
1211.71,SBI Bank,HDFC Bank,4182.57,Delhi,Female,Transfer,Failed,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,10,16,22,6
277.28,ICICI Bank,SBI Bank,2304.25,Bangalore,Male,Payment,Success,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,11,17,7,44
1522.85,Axis Bank,Axis Bank,5306.17,Hyderabad,Female,Transfer,Success,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,12,18,20,6
407.51,HDFC Bank,ICICI Bank,2617.89,Mumbai,Male,Payment,Success,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,1,19,15,48
1795.38,SBI Bank,HDFC Bank,2104.89,Delhi,Female,Transfer,Success,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,2,20,3,40
994.48,ICICI Bank,SBI Bank,847.97,Bangalore,Male,Payment,Failed,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,3,21,22,50
710.01,Axis Bank,Axis Bank,820.04,Hyderabad,Female,Transfer,Success,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,4,22,16,8
1061.56,HDFC Bank,ICICI Bank,7299.83,Mumbai,Male,Payment,Success,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,5,23,22,26
821.68,SBI Bank,HDFC Bank,4325.4,Delhi,Female,Transfer,Success,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,6,24,11,29
155.74,ICICI Bank,SBI Bank,1826.36,Bangalore,Male,Payment,Success,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,7,25,5,57
1706.81,Axis Bank,Axis Bank,5268.6,Hyderabad,Female,Transfer,Failed,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,8,26,3,40
1003.37,HDFC Bank,ICICI Bank,6888.42,Mumbai,Male,Payment,Success,Laptop,QR Code,Amazon,Food,36,Instant,INR,9,27,21,31
